iter	Passed	Remaining
0	0	75
1	1	66
2	1	63
3	2	57
4	3	57
5	3	61
6	4	62
7	5	62
8	6	62
9	6	62
10	7	61
11	8	60
12	8	59
13	9	58
14	10	56
15	10	56
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
